LEAID,CENSUSID,FIPST,FIPSCO,CMSA,STNAME,STABBR,SCHLEV,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,TNONELSE,TCAPOUT,TotalSalaries,TotalEmployeeBenefits
1000180,11503800100000,13,77,520,GEORGIA,GA,3,83597000.0,4019000.0,44633000.0,34945000.0,78141000.0,70760000.0,45290000.0,21637000.0,3833000.0,369000.0,4282000.0,46633000.0,13047000.0
1000190,11503900100000,13,79,0,GEORGIA,GA,3,10338000.0,752000.0,7016000.0,2570000.0,10095000.0,9784000.0,5741000.0,3263000.0,780000.0,0.0,220000.0,6014000.0,1753000.0
1000750,11504200100000,13,85,0,GEORGIA,GA,3,17987000.0,688000.0,10351000.0,6948000.0,19392000.0,12064000.0,7166000.0,4193000.0,705000.0,77000.0,6643000.0,8223000.0,2146000.0
1000080,11504300100000,13,87,0,GEORGIA,GA,3,30371000.0,3254000.0,20672000.0,6445000.0,30665000.0,28162000.0,17749000.0,8437000.0,1976000.0,181000.0,2308000.0,19147000.0,4794000.0
1001240,11504400100000,13,89,520,GEORGIA,GA,3,21814000.0,1630000.0,9791000.0,10393000.0,19542000.0,18729000.0,11152000.0,6460000.0,1117000.0,63000.0,696000.0,12158000.0,3694000.0
1000230,11504500100000,13,91,0,GEORGIA,GA,3,18329000.0,1795000.0,13623000.0,2911000.0,18236000.0,17517000.0,11241000.0,4886000.0,1390000.0,89000.0,606000.0,11632000.0,3354000.0
1001280,11504600100000,13,93,0,GEORGIA,GA,3,11805000.0,1625000.0,7039000.0,3141000.0,11327000.0,10784000.0,6628000.0,3328000.0,828000.0,30000.0,461000.0,6975000.0,1992000.0
1000680,11504700100000,13,95,120,GEORGIA,GA,3,111723000.0,13721000.0,67578000.0,30424000.0,109963000.0,104227000.0,60990000.0,35787000.0,7450000.0,64000.0,5541000.0,69937000.0,19528000.0
1000810,11504800100000,13,97,520,GEORGIA,GA,3,95054000.0,3743000.0,55440000.0,35871000.0,98527000.0,80363000.0,49795000.0,25775000.0,4793000.0,28000.0,14411000.0,54389000.0,15355000.0
1001080,11504900100000,13,99,0,GEORGIA,GA,3,15392000.0,1684000.0,9893000.0,3815000.0,16690000.0,13849000.0,8818000.0,4084000.0,947000.0,60000.0,2613000.0,9187000.0,2553000.0
